tarih,icerik,orijinal_url
2025-10-04,"[Tarih: 2025-10-04] Afetten Etkilenen Genlerin Glendirilmesi Destek Program kapsamnda yrtlen pek Yolu Afet Gnllleri Projesi erevesinde, gereini aratmayan bir tatbikat gerekletirildi. Genlik ve Spor Bakanl Bakan Yardmcs Do. Dr. Safa Koolu hem tesisi ziyaret ederek incelemelerde bulundu hem de tatbikata katlarak gnlllerimizin heyecanna ortak oldu. Tatbikata; Elaz Vali Yardmcs mer zbay, Elaz l zel dare Genel Sekreteri Cemil Yatkn, ve eitli kurumlarmzn kymetli temsilcileri katlm salad. Afetlere hazrlkl, bilinli ve gl bir genlik iin almaya devam ediyoruz!",https://www.instagram.com/p/DPZYXXCjQmR/
2025-10-03,"[Tarih: 2025-10-03] Yeilay ve pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi ortaklyla ""Afetten Etkilenen Genlerin Glendirilmesi Destek Program"" kapsamnda ""pek Yolu Afet Gnllleri Projesi devam ediyor pekyolu Uluslararas ocuk ve Genlik almalar Merkezi afet eitim sahasnda uygulamal olarak afad yetkilileri tarafndan eitim verildi",https://www.instagram.com/p/DPWUbD5jGrD/
2025-10-02,"[Tarih: 2025-10-02] Yeilay ve pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi ortaklyla ""Afetten Etkilenen Genlerin Glendirilmesi Destek Program"" kapsamnda ""pek Yolu Afet Gnllleri Projesi devam ediyor",https://www.instagram.com/p/DPTVfFSjHV8/
2025-10-01,"[Tarih: 2025-10-01] Yeilay ve pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi ortaklyla ""Afetten Etkilenen Genlerin Glendirilmesi Destek Program"" kapsamnda ""pek Yolu Afet Gnllleri Projesi balad",https://www.instagram.com/p/DPRxvcnjeNe/
2025-09-29,"[Tarih: 2025-09-29] 100 Mhendis Nasl Elenir? Teknoloji, elence ve inovasyon dolu bir gne hazr msn? Mhendislik ile elenceyi birletireceimiz, zgn mhendisliinizi konuturacamz bu etkinlikte seni de aramzda grmek iin sabrszlanyoruz! Peki, Neden Katlmalsn? Srpriz aktivitelerle hem elen hem ren. Senin gibi dnen mhendislerle tan, gelecee yn verecek balantlar kur. Teknoloji ve elenceyi bir araya getirerek harika bir deneyim yaa. Ekip almasnn gcn kefet! Bu macerann bir paras olmak iin hemen bavuru yap! Tarih: 5 Ekim 2025 Yer: pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi Son Bavuru: 3 Ekim 2025, saat 12:00 Bavuru ve tm detaylar bio'daki linkte!",https://www.instagram.com/p/DPL2w7cjOyC/
2025-09-23,"[Tarih: 2025-09-23] Afetten Etkilenen Genlerin Glendirilmesi Projesi kapsamnda genlerimizle buluuyoruz! Yeilay i birliiyle dzenleyeceimiz eitimlerde; salkl yaam, bilinli alkanlklar ve afetlere kar dayankllk zerine birlikte reniyor, birlikte gleniyoruz. Bavurular biodaki linkte! Sen de gelecee umut olmak iin bize katl!",https://www.instagram.com/p/DO8e7xZDFCt/
2025-09-22,"[Tarih: 2025-09-22] YELAY YAZ KAMPLARI DEVAM EDYOR Elaz pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi Ya snr: 18-50 ya Not: Kamplarmz cretsizdir. Konaklama ve yemek cretleri Yeilay tarafndan karlanacak, katlmclar yalnzca ulam masraflarn stlenecektir. Kamplarda Neler Var? Eitim Faaliyetleri Kltr ve Sanat Etkinlikleri Sportif Aktiviteler Doa Keifleri Atlye ve Beceri Geliimi Motivasyon ve Elence Hem elenmek, hem renmek, hem de doayla i ie bir yaz geirmek istiyorsan Yeilay Kamplar tam sana gre Kamp dnemleri: 26-30 Eyll Bavuru bioda",https://www.instagram.com/p/DO5UggUjEkL/
2025-09-17,[Tarih: 2025-09-17] Yeilay Genlik ve Gnlllk Kamp pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde balad,https://www.instagram.com/p/DOsbmiZDNhy/
2025-09-06,[Tarih: 2025-09-06] Yeilay Kulp Bakanlar Deneyim ve Motivasyon Kamp Atlye almalar ile pek Yolu Uluslararas ocuk ve Genlik almalar Merkezinde devam ediyor,https://www.instagram.com/p/DOQXssrjd7A/
2025-09-05,"[Tarih: 2025-09-05] Yeilay Kulp Bakanlar Deneyim ve Motivasyon Kamp Bamllk Endstrisi konusu ile pek Yolu Uluslararas ocuk ve Genlik almalar Merkezinde dopdolu bir ekilde devam ediyor! Genlerimizin farkndaln artrmak, bamllklara kar bilinli bir duru gelitirmek ve salkl yaam tevik etmek iin bir aradayz.",https://www.instagram.com/p/DOOpFrYjNwZ/
